Robots,Duracion,Prueba,Percentil,Distancia,Peligrosidad,Cobertura,%Cobertura
2,15,13,100,1010.5382386916237,16.474999999999998,381.0,66.14583333333334
3,5,1,25,164.8528137423857,2.38,18.0,3.125
3,5,1,50,164.8528137423857,2.38,18.0,3.125
3,5,1,75,164.8528137423857,2.38,18.0,3.125
3,5,1,100,164.8528137423857,2.38,18.0,3.125
3,5,2,25,664.2640687119285,11.25,167.0,28.993055555555557
3,5,2,50,584.2640687119285,9.68,203.0,35.24305555555556
3,5,2,75,635.9797974644666,11.260000000000002,217.0,37.67361111111111
3,5,2,100,622.842712474619,9.645000000000001,219.0,38.02083333333333
3,5,3,25,935.9797974644666,16.715,215.0,37.32638888888889
3,5,3,50,960.8326112068523,21.365000000000006,302.0,52.43055555555556
3,5,3,75,1205.685424949238,21.76000000000001,397.0,68.92361111111111
3,5,3,100,1561.6652224137047,30.860000000000003,419.0,72.74305555555556
3,5,4,25,657.4011537017761,8.354999999999999,140.0,24.305555555555554
3,5,4,50,675.9797974644666,9.74,186.0,32.29166666666667
3,5,4,75,900.8326112068523,15.910000000000002,231.0,40.10416666666667
3,5,4,100,815.9797974644666,14.570000000000002,231.0,40.10416666666667
3,5,5,25,571.1269837220809,7.490000000000001,147.0,25.520833333333332
3,5,5,50,877.4011537017761,17.744999999999997,288.0,50.0
3,5,5,75,853.9696961966999,16.065,342.0,59.375
3,5,5,100,1387.1067811865476,23.81000000000001,406.0,70.48611111111111
3,5,6,25,579.4112549695428,8.4,117.0,20.3125
3,5,6,50,780.8326112068523,15.459999999999997,295.0,51.21527777777778
3,5,6,75,780.8326112068523,14.250000000000002,323.0,56.076388888888886
3,5,6,100,780.8326112068523,13.889999999999999,335.0,58.15972222222222
3,5,7,25,607.6955262170047,11.910000000000002,169.0,29.34027777777778
3,5,7,50,595.9797974644666,10.29,225.0,39.0625
3,5,7,75,745.685424949238,15.224999999999998,293.0,50.86805555555556
3,5,7,100,977.4011537017761,18.985,388.0,67.36111111111111
3,5,8,25,466.2741699796952,7.680000000000001,91.0,15.79861111111111
3,5,8,50,317.9898987322333,5.83,129.0,22.395833333333336
3,5,8,75,369.7056274847714,7.920000000000001,187.0,32.46527777777778
3,5,8,100,777.4011537017761,12.440000000000001,288.0,50.0
3,5,9,25,785.685424949238,13.170000000000002,193.0,33.50694444444444
3,5,9,50,992.5483399593904,17.190000000000005,336.0,58.333333333333336
3,5,9,75,1018.8225099390856,18.450000000000003,367.0,63.71527777777778
3,5,9,100,917.4011537017761,15.589999999999996,371.0,64.40972222222221
3,5,10,25,471.1269837220809,7.44,181.0,31.42361111111111
3,5,10,50,506.2741699796952,8.239999999999998,245.0,42.53472222222222
3,5,10,75,591.1269837220809,9.950000000000003,289.0,50.173611111111114
3,5,10,100,709.1168824543142,10.660000000000004,348.0,60.416666666666664
3,5,11,25,346.2741699796952,4.545,61.0,10.590277777777777
3,5,11,50,502.842712474619,7.7799999999999985,166.0,28.819444444444443
3,5,11,75,559.4112549695428,7.85,243.0,42.1875
3,5,11,100,632.5483399593904,10.71,273.0,47.39583333333333
3,5,12,25,459.4112549695428,7.78,115.0,19.96527777777778
3,5,12,50,386.2741699796952,5.529999999999999,219.0,38.02083333333333
3,5,12,75,522.842712474619,9.89,253.0,43.92361111111111
3,5,12,100,459.4112549695428,6.07,283.0,49.13194444444444
3,5,13,25,695.9797974644666,12.280000000000001,152.0,26.38888888888889
3,5,13,50,675.9797974644666,10.09,248.0,43.05555555555556
3,5,13,75,704.2640687119285,11.62,291.0,50.520833333333336
3,5,13,100,715.9797974644666,12.99,300.0,52.083333333333336
3,10,1,25,792.5483399593904,13.51,292.0,50.69444444444444
3,10,1,50,1020.8326112068523,21.540000000000003,313.0,54.34027777777778
3,10,1,75,877.4011537017761,13.84,426.0,73.95833333333334
3,10,1,100,905.685424949238,15.725000000000005,479.0,83.15972222222221
3,10,2,25,511.1269837220809,7.785,140.0,24.305555555555554
3,10,2,50,692.5483399593904,11.62,242.0,42.01388888888889
3,10,2,75,909.1168824543142,17.43,247.0,42.88194444444444
3,10,2,100,634.5584412271571,11.080000000000002,271.0,47.04861111111111
3,10,3,25,574.5584412271571,14.04,170.0,29.51388888888889
3,10,3,50,494.5584412271571,9.270000000000001,209.0,36.28472222222222
3,10,3,75,837.4011537017761,14.199999999999996,295.0,51.21527777777778
3,10,3,100,980.8326112068523,19.940000000000005,322.0,55.90277777777778
3,10,4,25,960.8326112068523,17.21,233.0,40.45138888888889
3,10,4,50,772.5483399593904,12.750000000000002,256.0,44.44444444444444
3,10,4,75,749.1168824543142,12.809999999999999,329.0,57.11805555555556
3,10,4,100,912.5483399593904,17.729999999999997,368.0,63.888888888888886
3,10,5,25,479.4112549695428,8.11,181.0,31.42361111111111
3,10,5,50,917.4011537017761,17.040000000000003,323.0,56.076388888888886
3,10,5,75,1531.370849898476,31.825,432.0,75.0
3,10,5,100,1356.812408671319,28.444999999999997,459.0,79.6875
3,10,6,25,672.5483399593904,9.959999999999996,264.0,45.83333333333333
3,10,6,50,1005.685424949238,20.69000000000001,397.0,68.92361111111111
3,10,6,75,937.4011537017761,17.210000000000004,436.0,75.69444444444444
3,10,6,100,880.8326112068523,15.179999999999998,439.0,76.21527777777779
3,10,7,25,551.1269837220809,8.915000000000001,229.0,39.75694444444444
3,10,7,50,933.9696961966999,16.665,290.0,50.34722222222222
3,10,7,75,695.9797974644666,11.315000000000001,311.0,53.99305555555556
3,10,7,100,700.8326112068523,13.314999999999998,361.0,62.673611111111114
3,10,8,25,539.4112549695428,7.475,166.0,28.819444444444443
3,10,8,50,624.2640687119285,9.15,319.0,55.38194444444444
3,10,8,75,789.1168824543142,13.695000000000002,429.0,74.47916666666666
3,10,8,100,1388.528137423857,28.855,472.0,81.94444444444444
3,10,9,25,346.2741699796952,6.075,168.0,29.166666666666668
